index,tensor
132,"[3.0, 2.5, 1270.0, 2509.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1270.0, 0.0, 47.5357017517, -122.3649978638, 1420.0, 2206.0, 10.0, 0.0, 0.0]"
133,"[5.0, 2.75, 2160.0, 7200.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1220.0, 940.0, 47.557598114, -122.2730026245, 1900.0, 7200.0, 59.0, 0.0, 0.0]"
134,"[3.0, 2.5, 2460.0, 38794.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2460.0, 0.0, 47.7602005005, -122.0220031738, 2470.0, 51400.0, 16.0, 0.0, 0.0]"
135,"[4.0, 3.5, 4300.0, 70407.0, 2.0, 0.0, 0.0, 3.0, 10.0, 2710.0, 1590.0, 47.4472007751, -122.0920028687, 3520.0, 26727.0, 22.0, 0.0, 0.0]"
136,"[2.0, 1.0, 1170.0, 6543.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1170.0, 0.0, 47.5369987488, -122.3850021362, 1550.0, 7225.0, 101.0, 0.0, 0.0]"
137,"[3.0, 2.5, 2250.0, 8076.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2250.0, 0.0, 47.3666992188, -122.0410003662, 2180.0, 7244.0, 19.0, 0.0, 0.0]"
138,"[3.0, 2.25, 2510.0, 6339.0, 1.5, 0.0, 2.0, 5.0, 8.0, 1810.0, 700.0, 47.6496009827, -122.3909988403, 1820.0, 5741.0, 82.0, 0.0, 0.0]"
139,"[5.0, 2.5, 2960.0, 8968.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1640.0, 1320.0, 47.623298645, -122.1019973755, 1890.0, 9077.0, 49.0, 0.0, 0.0]"
140,"[4.0, 2.5, 2570.0, 7221.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1570.0, 1000.0, 47.6921005249, -122.3870010376, 2440.0, 7274.0, 57.0, 0.0, 0.0]"
141,"[3.0, 1.5, 2220.0, 8994.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1110.0, 1110.0, 47.5472984314, -122.1719970703, 2220.0, 8994.0, 52.0, 0.0, 0.0]"
142,"[3.0, 1.5, 1260.0, 10350.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1260.0, 0.0, 47.6357002258, -122.1230010986, 1800.0, 10350.0, 55.0, 0.0, 0.0]"
143,"[4.0, 2.0, 2280.0, 8339.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1220.0, 1060.0, 47.698600769, -122.2969970703, 1970.0, 8340.0, 61.0, 0.0, 0.0]"
144,"[4.0, 2.25, 2130.0, 8499.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1600.0, 530.0, 47.3656997681, -122.2099990845, 1890.0, 11368.0, 39.0, 0.0, 0.0]"
145,"[2.0, 1.0, 990.0, 8140.0, 1.0, 0.0, 0.0, 1.0, 6.0, 990.0, 0.0, 47.5828018188, -122.3820037842, 2150.0, 5000.0, 105.0, 0.0, 0.0]"
146,"[4.0, 1.0, 1510.0, 7200.0, 1.5, 0.0, 0.0, 4.0, 7.0, 1510.0, 0.0, 47.7610015869, -122.3069992065, 1950.0, 10656.0, 60.0, 0.0, 0.0]"
147,"[3.0, 1.0, 1530.0, 4944.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1530.0, 0.0, 47.6856994629, -122.341003418, 1500.0, 4944.0, 64.0, 0.0, 0.0]"
148,"[4.0, 1.0, 1750.0, 68841.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1750.0, 0.0, 47.4441986084, -122.0810012817, 1550.0, 32799.0, 72.0, 0.0, 0.0]"
149,"[2.0, 1.0, 560.0, 7560.0, 1.0, 0.0, 0.0, 3.0, 6.0, 560.0, 0.0, 47.5270996094, -122.375, 990.0, 7560.0, 70.0, 0.0, 0.0]"
150,"[3.0, 1.75, 2050.0, 4080.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2050.0, 0.0, 47.6697998047, -122.3249969482, 1890.0, 4080.0, 23.0, 0.0, 0.0]"
151,"[4.0, 3.75, 2690.0, 4000.0, 2.0, 0.0, 3.0, 4.0, 9.0, 2120.0, 570.0, 47.6417999268, -122.3720016479, 2830.0, 4000.0, 105.0, 1.0, 80.0]"
152,"[4.0, 2.5, 2927.0, 12171.0, 2.0, 0.0, 0.0, 3.0, 10.0, 2927.0, 0.0, 47.5947990417, -121.983001709, 2967.0, 12166.0, 17.0, 0.0, 0.0]"
153,"[4.0, 2.0, 1570.0, 9415.0, 2.0, 0.0, 0.0, 4.0, 7.0, 1570.0, 0.0, 47.3167991638, -122.1740036011, 1550.0, 8978.0, 30.0, 0.0, 0.0]"
154,"[4.0, 2.0, 1570.0, 9415.0, 2.0, 0.0, 0.0, 4.0, 7.0, 1570.0, 0.0, 47.3167991638, -122.1740036011, 1550.0, 8978.0, 30.0, 0.0, 0.0]"
155,"[4.0, 2.5, 2632.0, 4117.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2632.0, 0.0, 47.3428001404, -122.2779998779, 2040.0, 5195.0, 1.0, 0.0, 0.0]"
156,"[4.0, 2.0, 1780.0, 19843.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1780.0, 0.0, 47.4413986206, -122.1539993286, 2210.0, 13500.0, 52.0, 0.0, 0.0]"
157,"[5.0, 2.75, 3460.0, 7977.0, 2.0, 0.0, 0.0, 3.0, 9.0, 3460.0, 0.0, 47.590801239, -122.06199646, 3390.0, 6630.0, 3.0, 0.0, 0.0]"
158,"[4.0, 1.0, 1220.0, 5120.0, 1.5, 0.0, 0.0, 5.0, 6.0, 1220.0, 0.0, 47.2050018311, -121.9960021973, 1540.0, 7670.0, 75.0, 0.0, 0.0]"
159,"[1.0, 1.0, 1230.0, 3774.0, 1.0, 0.0, 0.0, 4.0, 6.0, 830.0, 400.0, 47.6885986328, -122.3539962769, 1300.0, 3774.0, 90.0, 0.0, 0.0]"
160,"[2.0, 1.0, 810.0, 4080.0, 1.0, 0.0, 0.0, 4.0, 6.0, 810.0, 0.0, 47.5336990356, -122.3789978027, 1400.0, 4080.0, 73.0, 0.0, 0.0]"
161,"[3.0, 1.75, 1960.0, 8136.0, 1.0, 0.0, 0.0, 3.0, 7.0, 980.0, 980.0, 47.5208015442, -122.3639984131, 1070.0, 7480.0, 66.0, 0.0, 0.0]"
162,"[3.0, 1.75, 1850.0, 7684.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1320.0, 530.0, 47.2975006104, -122.3700027466, 1940.0, 7630.0, 35.0, 0.0, 0.0]"
163,"[5.0, 3.5, 5430.0, 10327.0, 2.0, 0.0, 2.0, 3.0, 10.0, 4010.0, 1420.0, 47.5475997925, -122.1159973145, 4340.0, 10324.0, 7.0, 0.0, 0.0]"
164,"[4.0, 1.75, 1670.0, 9886.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1670.0, 0.0, 47.724899292, -122.2870025635, 2590.0, 9997.0, 67.0, 0.0, 0.0]"
165,"[3.0, 2.25, 1850.0, 2575.0, 2.0, 0.0, 0.0, 3.0, 9.0, 1850.0, 0.0, 47.5525016785, -122.2730026245, 1080.0, 4120.0, 1.0, 0.0, 0.0]"
166,"[3.0, 1.0, 1100.0, 17334.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1100.0, 0.0, 47.3003005981, -122.2699966431, 1530.0, 18694.0, 36.0, 0.0, 0.0]"
167,"[3.0, 1.75, 1520.0, 12282.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1220.0, 300.0, 47.7515983582, -122.2990036011, 1860.0, 13500.0, 36.0, 0.0, 0.0]"
168,"[4.0, 2.5, 2550.0, 7555.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2550.0, 0.0, 47.2613983154, -122.2900009155, 2550.0, 6800.0, 13.0, 0.0, 0.0]"
169,"[4.0, 2.5, 2930.0, 7806.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2930.0, 0.0, 47.6218986511, -122.0240020752, 2600.0, 6051.0, 9.0, 0.0, 0.0]"
170,"[4.0, 2.75, 4020.0, 18745.0, 2.0, 0.0, 4.0, 4.0, 10.0, 2830.0, 1190.0, 47.6041984558, -122.2099990845, 3150.0, 20897.0, 26.0, 0.0, 0.0]"
171,"[3.0, 2.5, 2430.0, 88426.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1570.0, 860.0, 47.48279953, -121.7180023193, 1560.0, 56827.0, 29.0, 0.0, 0.0]"
172,"[3.0, 1.75, 1700.0, 5750.0, 1.5, 0.0, 2.0, 5.0, 7.0, 1450.0, 250.0, 47.5643005371, -122.3799972534, 1700.0, 5750.0, 89.0, 0.0, 0.0]"
173,"[3.0, 2.0, 1460.0, 2610.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1460.0, 0.0, 47.6864013672, -122.3450012207, 1320.0, 3000.0, 27.0, 0.0, 0.0]"
174,"[3.0, 2.5, 1270.0, 2509.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1270.0, 0.0, 47.5357017517, -122.3649978638, 1420.0, 2206.0, 10.0, 0.0, 0.0]"
175,"[3.0, 1.75, 1700.0, 7532.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1700.0, 0.0, 47.3549995422, -122.1760025024, 1690.0, 7405.0, 27.0, 0.0, 0.0]"
176,"[3.0, 1.5, 1760.0, 4000.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1760.0, 0.0, 47.6400985718, -122.3199996948, 1760.0, 4000.0, 92.0, 0.0, 0.0]"
177,"[3.0, 3.0, 1520.0, 1884.0, 3.0, 0.0, 0.0, 3.0, 8.0, 1520.0, 0.0, 47.7176017761, -122.283996582, 1360.0, 1939.0, 5.0, 0.0, 0.0]"
178,"[3.0, 1.75, 1390.0, 13200.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1390.0, 0.0, 47.4429016113, -121.7710037231, 1430.0, 10725.0, 35.0, 0.0, 0.0]"
179,"[3.0, 2.5, 2370.0, 4200.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2370.0, 0.0, 47.3698997498, -122.0189971924, 2370.0, 4370.0, 1.0, 0.0, 0.0]"
180,"[2.0, 1.0, 810.0, 5100.0, 1.0, 0.0, 0.0, 3.0, 6.0, 810.0, 0.0, 47.7317008972, -122.3430023193, 1500.0, 5100.0, 59.0, 0.0, 0.0]"
181,"[2.0, 1.0, 1130.0, 2640.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1130.0, 0.0, 47.6437988281, -122.3570022583, 1680.0, 3200.0, 87.0, 0.0, 0.0]"
182,"[3.0, 1.0, 1680.0, 7910.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1680.0, 0.0, 47.5084991455, -122.3850021362, 1330.0, 7910.0, 66.0, 0.0, 0.0]"
183,"[3.0, 1.75, 2480.0, 10804.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1800.0, 680.0, 47.7720985413, -122.3669967651, 2480.0, 10400.0, 38.0, 0.0, 0.0]"
184,"[4.0, 1.5, 1730.0, 10396.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1730.0, 0.0, 47.4496994019, -122.1679992676, 1510.0, 10396.0, 51.0, 0.0, 0.0]"
185,"[5.0, 3.25, 2500.0, 7620.0, 1.0, 0.0, 3.0, 3.0, 7.0, 1250.0, 1250.0, 47.529800415, -122.34400177, 2020.0, 7620.0, 53.0, 0.0, 0.0]"
186,"[2.0, 1.0, 930.0, 6098.0, 1.0, 0.0, 0.0, 4.0, 6.0, 930.0, 0.0, 47.5289001465, -122.0299987793, 1730.0, 9000.0, 95.0, 0.0, 0.0]"
187,"[4.0, 2.75, 3470.0, 212639.0, 2.0, 0.0, 0.0, 3.0, 7.0, 2070.0, 1400.0, 47.7066001892, -121.9680023193, 2370.0, 233917.0, 21.0, 0.0, 0.0]"
188,"[4.0, 2.5, 2009.0, 5000.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2009.0, 0.0, 47.2577018738, -122.1979980469, 2009.0, 5182.0, 0.0, 0.0, 0.0]"
189,"[3.0, 1.75, 1600.0, 9579.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1180.0, 420.0, 47.7662010193, -122.158996582, 1750.0, 9829.0, 38.0, 0.0, 0.0]"
190,"[3.0, 2.0, 1460.0, 9759.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1460.0, 0.0, 47.6643981934, -122.1439971924, 1620.0, 8421.0, 42.0, 0.0, 0.0]"
191,"[3.0, 2.5, 3380.0, 7074.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2200.0, 1180.0, 47.7462005615, -121.9779968262, 2060.0, 6548.0, 15.0, 0.0, 0.0]"
192,"[4.0, 2.5, 2340.0, 8990.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2340.0, 0.0, 47.3781013489, -122.0299987793, 2980.0, 6718.0, 11.0, 0.0, 0.0]"
193,"[4.0, 1.5, 1800.0, 6750.0, 1.5, 0.0, 0.0, 4.0, 7.0, 1800.0, 0.0, 47.6867980957, -122.2850036621, 1420.0, 5900.0, 64.0, 0.0, 0.0]"
194,"[3.0, 1.75, 1540.0, 9154.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1540.0, 0.0, 47.6207008362, -122.0419998169, 1990.0, 10273.0, 31.0, 0.0, 0.0]"
195,"[2.0, 2.25, 1240.0, 720.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1150.0, 90.0, 47.5321998596, -122.0719985962, 1260.0, 810.0, 7.0, 0.0, 0.0]"
196,"[5.0, 2.5, 2600.0, 3839.0, 2.0, 0.0, 0.0, 3.0, 7.0, 2600.0, 0.0, 47.4323997498, -122.1449966431, 2180.0, 4800.0, 9.0, 0.0, 0.0]"
197,"[4.0, 2.0, 1780.0, 19843.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1780.0, 0.0, 47.4413986206, -122.1539993286, 2210.0, 13500.0, 52.0, 0.0, 0.0]"
198,"[6.0, 2.75, 3500.0, 5150.0, 2.0, 0.0, 0.0, 5.0, 8.0, 2430.0, 1070.0, 47.6842002869, -122.3629989624, 1430.0, 3860.0, 105.0, 0.0, 0.0]"
199,"[3.0, 1.5, 1330.0, 9548.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1330.0, 0.0, 47.3675003052, -122.1100006104, 1420.0, 9548.0, 47.0, 0.0, 0.0]"
200,"[4.0, 2.0, 1900.0, 8160.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1900.0, 0.0, 47.2113990784, -121.986000061, 1280.0, 6532.0, 40.0, 0.0, 0.0]"
201,"[3.0, 2.25, 1850.0, 2575.0, 2.0, 0.0, 0.0, 3.0, 9.0, 1850.0, 0.0, 47.5525016785, -122.2730026245, 1080.0, 4120.0, 1.0, 0.0, 0.0]"
202,"[4.0, 2.25, 2580.0, 7344.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2580.0, 0.0, 47.5647010803, -122.0899963379, 2390.0, 7507.0, 37.0, 0.0, 0.0]"
203,"[3.0, 2.5, 1730.0, 3600.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1730.0, 0.0, 47.5013999939, -122.3399963379, 2030.0, 3600.0, 0.0, 0.0, 0.0]"
204,"[3.0, 2.5, 3310.0, 5300.0, 2.0, 0.0, 2.0, 3.0, 8.0, 2440.0, 870.0, 47.5177993774, -122.388999939, 2140.0, 7500.0, 6.0, 0.0, 0.0]"
205,"[2.0, 1.0, 980.0, 5110.0, 1.0, 0.0, 0.0, 4.0, 7.0, 780.0, 200.0, 47.7001991272, -122.3140029907, 1430.0, 5110.0, 75.0, 0.0, 0.0]"
206,"[4.0, 2.75, 2640.0, 4000.0, 2.0, 0.0, 0.0, 5.0, 8.0, 1730.0, 910.0, 47.6726989746, -122.2969970703, 1530.0, 3740.0, 89.0, 0.0, 0.0]"
207,"[4.0, 3.0, 2170.0, 2500.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1710.0, 460.0, 47.6741981506, -122.3030014038, 2170.0, 4080.0, 17.0, 0.0, 0.0]"
208,"[4.0, 2.5, 2240.0, 8664.0, 1.0, 0.0, 0.0, 5.0, 8.0, 1470.0, 770.0, 47.6621017456, -122.1890029907, 2210.0, 8860.0, 39.0, 0.0, 0.0]"
209,"[4.0, 3.0, 2570.0, 4000.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1750.0, 820.0, 47.6743011475, -122.31300354, 1970.0, 4000.0, 105.0, 1.0, 105.0]"
210,"[4.0, 2.5, 3190.0, 24170.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3190.0, 0.0, 47.6208992004, -122.0520019531, 2110.0, 26321.0, 13.0, 0.0, 0.0]"
211,"[4.0, 3.5, 4460.0, 16271.0, 2.0, 0.0, 2.0, 3.0, 11.0, 4460.0, 0.0, 47.5862007141, -121.9700012207, 4540.0, 17122.0, 13.0, 0.0, 0.0]"
212,"[5.0, 2.75, 2770.0, 6116.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1490.0, 1280.0, 47.4846992493, -122.2910003662, 1920.0, 6486.0, 35.0, 0.0, 0.0]"
213,"[3.0, 2.0, 1770.0, 7251.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1770.0, 0.0, 47.4086990356, -122.1699981689, 2560.0, 7210.0, 24.0, 0.0, 0.0]"
214,"[4.0, 2.25, 2350.0, 7210.0, 1.5, 0.0, 0.0, 4.0, 7.0, 2350.0, 0.0, 47.7406997681, -122.1829986572, 1930.0, 7519.0, 42.0, 0.0, 0.0]"
215,"[2.0, 1.0, 830.0, 26329.0, 1.0, 1.0, 3.0, 4.0, 6.0, 830.0, 0.0, 47.4011993408, -122.4250030518, 2030.0, 27338.0, 86.0, 0.0, 0.0]"
216,"[5.0, 3.0, 3320.0, 5354.0, 2.0, 0.0, 0.0, 3.0, 9.0, 3320.0, 0.0, 47.6542015076, -122.3310012817, 2330.0, 4040.0, 11.0, 0.0, 0.0]"
217,"[4.0, 2.5, 2420.0, 10603.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1210.0, 1210.0, 47.7397003174, -122.2590026855, 1750.0, 10800.0, 56.0, 0.0, 0.0]"
218,"[3.0, 1.0, 1090.0, 4000.0, 1.5, 0.0, 0.0, 4.0, 7.0, 1090.0, 0.0, 47.6846008301, -122.3860015869, 1520.0, 4000.0, 70.0, 0.0, 0.0]"
219,"[2.0, 1.0, 770.0, 5040.0, 1.0, 0.0, 0.0, 3.0, 5.0, 770.0, 0.0, 47.5964012146, -122.2990036011, 1330.0, 2580.0, 85.0, 0.0, 0.0]"
220,"[4.0, 3.0, 2410.0, 8284.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1210.0, 1200.0, 47.720199585, -122.2200012207, 2050.0, 7940.0, 45.0, 0.0, 0.0]"
221,"[4.0, 1.75, 2710.0, 11400.0, 1.0, 0.0, 0.0, 4.0, 9.0, 1430.0, 1280.0, 47.561000824, -122.1529998779, 2640.0, 11000.0, 38.0, 0.0, 0.0]"
222,"[4.0, 2.25, 2560.0, 12100.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1760.0, 800.0, 47.6310005188, -122.108001709, 2240.0, 12100.0, 38.0, 0.0, 0.0]"
223,"[3.0, 2.75, 2200.0, 7000.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1280.0, 920.0, 47.4574012756, -122.1689987183, 1670.0, 7000.0, 37.0, 0.0, 0.0]"
224,"[2.0, 1.0, 1290.0, 3140.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1290.0, 0.0, 47.697101593, -122.0260009766, 1290.0, 2628.0, 6.0, 0.0, 0.0]"
225,"[2.0, 0.75, 900.0, 3527.0, 1.0, 0.0, 0.0, 3.0, 6.0, 900.0, 0.0, 47.5083007812, -122.3359985352, 1220.0, 4080.0, 76.0, 0.0, 0.0]"
226,"[4.0, 2.5, 3450.0, 35100.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3450.0, 0.0, 47.7302017212, -122.1060028076, 3110.0, 35894.0, 27.0, 0.0, 0.0]"
227,"[3.0, 2.5, 2040.0, 3810.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2040.0, 0.0, 47.3536987305, -122.0, 2370.0, 4590.0, 9.0, 0.0, 0.0]"
228,"[4.0, 2.5, 2560.0, 5800.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2560.0, 0.0, 47.3474006653, -122.0250015259, 3040.0, 5800.0, 10.0, 0.0, 0.0]"
229,"[3.0, 1.75, 1260.0, 15000.0, 1.5, 0.0, 0.0, 4.0, 7.0, 1260.0, 0.0, 47.2737007141, -122.1529998779, 2400.0, 21715.0, 32.0, 0.0, 0.0]"
230,"[5.0, 1.75, 2660.0, 10637.0, 1.5, 0.0, 0.0, 5.0, 7.0, 1670.0, 990.0, 47.6944999695, -122.2919998169, 1570.0, 6825.0, 92.0, 0.0, 0.0]"
231,"[2.0, 1.0, 870.0, 4600.0, 1.0, 0.0, 0.0, 4.0, 7.0, 870.0, 0.0, 47.5274009705, -122.3789978027, 930.0, 4600.0, 72.0, 0.0, 0.0]"
232,"[4.0, 2.5, 2800.0, 246114.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2800.0, 0.0, 47.6585998535, -121.9619979858, 2750.0, 60351.0, 15.0, 0.0, 0.0]"
233,"[4.0, 3.25, 4160.0, 47480.0, 2.0, 0.0, 0.0, 3.0, 10.0, 4160.0, 0.0, 47.726600647, -122.1149978638, 3400.0, 40428.0, 19.0, 0.0, 0.0]"
234,"[6.0, 4.5, 3500.0, 8504.0, 2.0, 0.0, 0.0, 3.0, 7.0, 3500.0, 0.0, 47.7349014282, -122.2949981689, 1550.0, 8460.0, 35.0, 0.0, 0.0]"
235,"[4.0, 1.75, 2120.0, 9706.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1370.0, 750.0, 47.4939002991, -122.2969970703, 1730.0, 11337.0, 49.0, 0.0, 0.0]"
236,"[3.0, 2.5, 2900.0, 23550.0, 1.0, 0.0, 0.0, 3.0, 10.0, 1490.0, 1410.0, 47.5708007812, -122.1529998779, 2900.0, 19604.0, 27.0, 0.0, 0.0]"
237,"[3.0, 2.5, 2360.0, 4080.0, 2.0, 0.0, 0.0, 3.0, 7.0, 2360.0, 0.0, 47.6824989319, -122.0380020142, 2290.0, 4080.0, 11.0, 0.0, 0.0]"
238,"[3.0, 2.5, 2020.0, 11935.0, 1.0, 0.0, 0.0, 4.0, 9.0, 2020.0, 0.0, 47.6319999695, -122.0920028687, 2410.0, 12350.0, 38.0, 0.0, 0.0]"
239,"[1.0, 0.75, 770.0, 4600.0, 1.0, 0.0, 0.0, 4.0, 6.0, 770.0, 0.0, 47.5564994812, -122.3769989014, 1550.0, 4600.0, 104.0, 0.0, 0.0]"
240,"[4.0, 2.5, 2770.0, 63118.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2770.0, 0.0, 47.6622009277, -121.9609985352, 2770.0, 44224.0, 17.0, 0.0, 0.0]"
241,"[4.0, 4.25, 3500.0, 8750.0, 1.0, 0.0, 4.0, 5.0, 9.0, 2140.0, 1360.0, 47.7221984863, -122.3669967651, 3110.0, 8750.0, 63.0, 0.0, 0.0]"
242,"[2.0, 2.25, 1061.0, 2884.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1061.0, 0.0, 47.3460006714, -122.2180023193, 1481.0, 2887.0, 2.0, 0.0, 0.0]"
243,"[4.0, 2.5, 2070.0, 8685.0, 2.0, 0.0, 0.0, 3.0, 7.0, 2070.0, 0.0, 47.4696998596, -122.266998291, 2170.0, 9715.0, 9.0, 0.0, 0.0]"
244,"[4.0, 1.5, 1100.0, 11824.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1100.0, 0.0, 47.570400238, -122.1409988403, 1380.0, 11796.0, 60.0, 0.0, 0.0]"
245,"[4.0, 2.5, 2810.0, 6481.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2810.0, 0.0, 47.3330001831, -122.1719970703, 2660.0, 6958.0, 17.0, 0.0, 0.0]"
246,"[4.0, 2.5, 2130.0, 6003.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2130.0, 0.0, 47.4518013, -122.1200027466, 1940.0, 4529.0, 11.0, 0.0, 0.0]"
247,"[4.0, 2.25, 3310.0, 8540.0, 1.0, 0.0, 4.0, 4.0, 9.0, 1660.0, 1650.0, 47.5602989197, -122.1579971313, 3450.0, 9566.0, 41.0, 0.0, 0.0]"
248,"[3.0, 1.0, 1100.0, 5400.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1100.0, 0.0, 47.6604003906, -122.3960037231, 1770.0, 4400.0, 106.0, 0.0, 0.0]"
249,"[4.0, 2.5, 1960.0, 7230.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1960.0, 0.0, 47.2854995728, -122.3600006104, 1850.0, 7208.0, 12.0, 0.0, 0.0]"
250,"[5.0, 3.5, 4200.0, 5400.0, 2.0, 0.0, 0.0, 3.0, 9.0, 3140.0, 1060.0, 47.707698822, -122.1200027466, 3300.0, 5564.0, 2.0, 0.0, 0.0]"
251,"[1.0, 1.0, 1090.0, 32010.0, 1.0, 0.0, 0.0, 4.0, 6.0, 1090.0, 0.0, 47.6927986145, -121.8700027466, 1870.0, 25346.0, 56.0, 0.0, 0.0]"
252,"[4.0, 2.5, 3070.0, 6923.0, 2.0, 0.0, 0.0, 3.0, 9.0, 3070.0, 0.0, 47.6689987183, -122.1719970703, 2190.0, 9218.0, 5.0, 0.0, 0.0]"
253,"[3.0, 1.0, 1000.0, 16376.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1000.0, 0.0, 47.4824981689, -122.108001709, 1420.0, 16192.0, 55.0, 0.0, 0.0]"
254,"[4.0, 2.5, 2160.0, 9682.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2160.0, 0.0, 47.4105987549, -122.2040023804, 1770.0, 9600.0, 15.0, 0.0, 0.0]"
255,"[4.0, 2.0, 2180.0, 6000.0, 1.5, 0.0, 0.0, 3.0, 8.0, 2060.0, 120.0, 47.5957984924, -122.3059997559, 1370.0, 4500.0, 88.0, 0.0, 0.0]"
256,"[4.0, 1.0, 2000.0, 4800.0, 2.0, 0.0, 0.0, 4.0, 7.0, 2000.0, 0.0, 47.6582984924, -122.3509979248, 1260.0, 1452.0, 104.0, 0.0, 0.0]"
257,"[4.0, 3.0, 2680.0, 15438.0, 2.0, 0.0, 2.0, 3.0, 8.0, 2680.0, 0.0, 47.6109008789, -122.2259979248, 4480.0, 14406.0, 113.0, 1.0, 54.0]"
258,"[5.0, 3.5, 3760.0, 10207.0, 2.0, 0.0, 0.0, 3.0, 10.0, 3150.0, 610.0, 47.5605010986, -122.2249984741, 3550.0, 12118.0, 46.0, 0.0, 0.0]"
259,"[3.0, 2.75, 2200.0, 7000.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1280.0, 920.0, 47.4574012756, -122.1689987183, 1670.0, 7000.0, 37.0, 0.0, 0.0]"
260,"[3.0, 3.0, 1520.0, 1884.0, 3.0, 0.0, 0.0, 3.0, 8.0, 1520.0, 0.0, 47.7176017761, -122.283996582, 1360.0, 1939.0, 5.0, 0.0, 0.0]"
261,"[5.0, 3.25, 3030.0, 20446.0, 2.0, 0.0, 2.0, 3.0, 9.0, 2130.0, 900.0, 47.6133003235, -122.1060028076, 2890.0, 20908.0, 38.0, 0.0, 0.0]"
262,"[3.0, 1.0, 1700.0, 6356.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1700.0, 0.0, 47.5676994324, -122.28099823, 2080.0, 6000.0, 107.0, 0.0, 0.0]"
263,"[4.0, 2.75, 1700.0, 7495.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1200.0, 500.0, 47.7588996887, -122.3539962769, 1650.0, 7495.0, 51.0, 0.0, 0.0]"
